University,Faculty Name,Title,Email,Phone,Profile URL,Notes
San Francisco Conservatory of Music,Christopher Bassett,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,Trombone faculty member
San Francisco Conservatory of Music,John Engelkes,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,Trombone faculty member
San Francisco Conservatory of Music,Timothy Higgins,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,Trombone faculty member - description mentions trombonist/teacher/composer
San Francisco Conservatory of Music,Paul Welcomer,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,Trombone faculty member
