University,Faculty Name,Title,Email,Phone,Profile URL,Notes
Northwestern University,Reed Capshaw,Trombone Choir,,,https://www.music.northwestern.edu/faculty/profile/reed-capshaw,
Northwestern University,Randall Hawes,Trombone,,,https://www.music.northwestern.edu/faculty/profile/randall-hawes,
Northwestern University,Michael Mulcahy,Trombone,,,https://www.music.northwestern.edu/faculty/profile/michael-mulcahy,
Northwestern University,R. Douglas Wright,Trombone,,,https://www.music.northwestern.edu/faculty/profile/r-douglas-wright,
