University,Faculty Name,Title,Email,Phone,Profile URL,Notes
Southern Methodist University,Barry Hearn,Adjunct Associate Professor of Trombone,,,https://www.smu.edu/meadows/areasofstudy/music/faculty/hearnbarry,
Southern Methodist University,Chris Oliver,Adjunct Associate Professor of Trombone,,,https://www.smu.edu/meadows/areasofstudy/music/faculty/oliverchris,
Southern Methodist University,Darren McHenry,Adjunct Assistant Professor of Bass Trombone,,,https://www.smu.edu/meadows/areasofstudy/music/faculty/mchenrydarren,
