University,Faculty Name,Title,Email,Phone,Profile URL,Notes
Northern Illinois University,Tom Garling,Trombone Jazz Studies,,,"https://www.niu.edu/music/faculty/garling.shtml",Trombone and Jazz Studies faculty
Northern Illinois University,Andrew Glendening,Director of the School of Music Trombone,,,"https://www.niu.edu/music/faculty/glendening.shtml",Director of School of Music and Trombone faculty
Northern Illinois University,Timothy Riordan,Trombone,,,"https://www.niu.edu/music/faculty/riordan.shtml",Trombone faculty
