University,Faculty Name,Title,Email,Phone,Profile URL,Notes
Baldwin-Wallace Conservatory of Music,Andrew Mitchell,Lecturer of Trombone,,,(440) 826-2369 main,(440) 826-2368 admission,https://www.bw.edu/academics/bios/mitchell-andrew,D.M.A. University of Michigan
Baldwin-Wallace Conservatory of Music,Richard Stout,Lecturer of Trombone and Euphonium,,,(440) 826-2369 main,(440) 826-2368 admission,http://www.bw.edu/academics/bios/stout-richard,B.M. Curtis Institute of Music
